Country,Last
Luxembourg,132414
Ireland,115625
Norway,90501
Switzerland,82914
Denmark,72034
Netherlands,69336
Iceland,66451
Austria,64644
Sweden,64191
Belgium,63572
Germany,61909
Finland,57506
Malta,57230
Euro Area,55835
France,55214
United Kingdom,54126
European Union,53789
Italy,52700
Cyprus,50578
Slovenia,48109
Czech Republic,47731
Spain,46357
Lithuania,46210
Poland,44051
Estonia,41998
Portugal,41710
Croatia,41344
Hungary,40554
Romania,40518
Russia,39753
Slovakia,39260
Latvia,37813
Greece,36268
Turkey,34414
Bulgaria,33289
Montenegro,27776
Belarus,27718
Serbia,24511
Macedonia,23424
Bosnia and Herzegovina,19860
Albania,18060
Ukraine,16231
Moldova,15670
Kosovo,13547
