Country;Last;Previous;Reference;Unit
Luxembourg;132414;137059;Dec/23;USD
Ireland;115625;122596;Dec/23;USD
Norway;90501;91069;Dec/23;USD
Switzerland;82914;83020;Dec/23;USD
Denmark;72034;71224;Dec/23;USD
Netherlands;69336;69954;Dec/23;USD
Iceland;66451;65795;Dec/23;USD
Austria;64644;65837;Dec/23;USD
Sweden;64191;64622;Dec/23;USD
Belgium;63572;63450;Dec/23;USD
Germany;61909;62605;Dec/23;USD
Finland;57506;58402;Dec/23;USD
Malta;57230;56443;Dec/23;USD
Euro Area;55835;55865;Dec/23;USD
France;55214;54988;Dec/23;USD
United Kingdom;54126;54516;Dec/23;USD
European Union;53789;53759;Dec/23;USD
Italy;52700;52060;Dec/23;USD
Cyprus;50578;50230;Dec/23;USD
Slovenia;48109;47558;Dec/23;USD
Czech Republic;47731;48784;Dec/23;USD
Spain;46357;45788;Dec/23;USD
Lithuania;46210;47025;Dec/23;USD
Poland;44051;43818;Dec/23;USD
Estonia;41998;43856;Dec/23;USD
Portugal;41710;41240;Dec/23;USD
Croatia;41344;40090;Dec/23;USD
Hungary;40554;40700;Dec/23;USD
Romania;40518;39684;Dec/23;USD
Russia;39753;38264;Dec/23;USD
Slovakia;39260;38607;Dec/23;USD
Latvia;37813;37967;Dec/23;USD
Greece;36268;35329;Dec/23;USD
Turkey;34414;33061;Dec/23;USD
Bulgaria;33289;32510;Dec/23;USD
Montenegro;27776;26165;Dec/23;USD
Belarus;27718;26538;Dec/23;USD
Serbia;24511;23740;Dec/23;USD
Macedonia;23424;22936;Dec/23;USD
Bosnia and Herzegovina;19860;19396;Dec/23;USD
Albania;18060;17260;Dec/23;USD
Ukraine;16231;15022;Dec/23;USD
Moldova;15670;15229;Dec/23;USD
Kosovo;13547;13023;Dec/23;USD
